
QQQ10484.	Hall/VdC Norms: Male#0001	emoAP 
QQQ10455.	Hall/VdC Norms: Female#0472	
QQQ10456.	Hall/VdC Norms: Female#0473	emoAP emoAP 
QQQ10457.	Hall/VdC Norms: Female#0474	
QQQ10458.	Hall/VdC Norms: Female#0475	
QQQ10459.	Hall/VdC Norms: Female#0476	
QQQ10460.	Hall/VdC Norms: Female#0477	
QQQ10461.	Hall/VdC Norms: Female#0478	
QQQ10462.	Hall/VdC Norms: Female#0479	
QQQ10463.	Hall/VdC Norms: Female#0480	emoAP 
QQQ10464.	Hall/VdC Norms: Female#0481	
QQQ10465.	Hall/VdC Norms: Female#0482	emoCO 
QQQ10466.	Hall/VdC Norms: Female#0483	emoHA 
QQQ10467.	Hall/VdC Norms: Female#0484	emoHA 
QQQ10468.	Hall/VdC Norms: Female#0485	
QQQ10469.	Hall/VdC Norms: Female#0486	emoAN 
QQQ10470.	Hall/VdC Norms: Female#0487	emoAP emoAN 
QQQ10471.	Hall/VdC Norms: Female#0488	emoSD emoCO 
QQQ10472.	Hall/VdC Norms: Female#0489	
QQQ10473.	Hall/VdC Norms: Female#0490	emoAN 
QQQ10474.	Hall/VdC Norms: Female#0491	emoAN emoAP 
QQQ10475.	Hall/VdC Norms: Female#0492	
QQQ10476.	Hall/VdC Norms: Female#0493	emoAN emoAP emoAN emoAN 
QQQ10477.	Hall/VdC Norms: Female#0494	emoCO emoAP 
QQQ10478.	Hall/VdC Norms: Female#0495	emoCO emoAN 
QQQ10479.	Hall/VdC Norms: Female#0496	emoSD 
QQQ10480.	Hall/VdC Norms: Female#0497	emoAP 
QQQ10481.	Hall/VdC Norms: Female#0498	emoHA 
QQQ10482.	Hall/VdC Norms: Female#0499	emoCO 
QQQ10483.	Hall/VdC Norms: Female#0500	
