QQQ10484.	Hall/VdC Norms: Male#0001	setID 
QQQ10392.	Hall/VdC Norms: Female#0409	setOQ 
QQQ10393.	Hall/VdC Norms: Female#0410	setIF 
QQQ10394.	Hall/VdC Norms: Female#0411	setAG 
QQQ10395.	Hall/VdC Norms: Female#0412	setOQ 
QQQ10396.	Hall/VdC Norms: Female#0413	setIF 
QQQ10397.	Hall/VdC Norms: Female#0414	setOF 
QQQ10398.	Hall/VdC Norms: Female#0415	setOQ setIQ 
QQQ10399.	Hall/VdC Norms: Female#0416	setAQ 
QQQ10400.	Hall/VdC Norms: Female#0417	setIQ setOQ setIQ setOQ 
QQQ10401.	Hall/VdC Norms: Female#0418	setOQ setOQ 
QQQ10402.	Hall/VdC Norms: Female#0419	setOF setIF 
QQQ10403.	Hall/VdC Norms: Female#0420	setIQ setOQ 
QQQ10404.	Hall/VdC Norms: Female#0421	setIF 
QQQ10405.	Hall/VdC Norms: Female#0422	setOQ 
QQQ10406.	Hall/VdC Norms: Female#0423	setIF 
QQQ10407.	Hall/VdC Norms: Female#0424	setOQ 
QQQ10408.	Hall/VdC Norms: Female#0425	setOQ 
QQQ10409.	Hall/VdC Norms: Female#0426	setOQ setOQ 
QQQ10410.	Hall/VdC Norms: Female#0427	setIQ 
QQQ10411.	Hall/VdC Norms: Female#0428	setOQ setIQ 
QQQ10412.	Hall/VdC Norms: Female#0429	setOQ 
QQQ10413.	Hall/VdC Norms: Female#0430	setIF setOF 
QQQ10414.	Hall/VdC Norms: Female#0431	setOQ setIQ 
QQQ10415.	Hall/VdC Norms: Female#0432	setOG 
QQQ10416.	Hall/VdC Norms: Female#0433	setIF 
QQQ10417.	Hall/VdC Norms: Female#0434	setOD 
QQQ10418.	Hall/VdC Norms: Female#0435	setIF 
QQQ10419.	Hall/VdC Norms: Female#0436	setAQ 
QQQ10420.	Hall/VdC Norms: Female#0437	setOF setIF 
QQQ10421.	Hall/VdC Norms: Female#0438	setOQ 
QQQ10422.	Hall/VdC Norms: Female#0439	setIU 
QQQ10423.	Hall/VdC Norms: Female#0440	setAQ 
QQQ10424.	Hall/VdC Norms: Female#0441	setIU 
QQQ10425.	Hall/VdC Norms: Female#0442	setIQ setAQ 
QQQ10426.	Hall/VdC Norms: Female#0443	setAQ 
QQQ10427.	Hall/VdC Norms: Female#0444	setOQ setIQ 
QQQ10428.	Hall/VdC Norms: Female#0445	setIF 
QQQ10429.	Hall/VdC Norms: Female#0446	setIQ 
QQQ10430.	Hall/VdC Norms: Female#0447	setAQ 
QQQ10431.	Hall/VdC Norms: Female#0448	setIQ setOQ 
QQQ10432.	Hall/VdC Norms: Female#0449	setOQ 
QQQ10433.	Hall/VdC Norms: Female#0450	setOF 
QQQ10434.	Hall/VdC Norms: Female#0451	setOF 
QQQ10435.	Hall/VdC Norms: Female#0452	setOQ 
QQQ10436.	Hall/VdC Norms: Female#0453	setOQ 
QQQ10437.	Hall/VdC Norms: Female#0454	setOQ 
QQQ10438.	Hall/VdC Norms: Female#0455	setID 
QQQ10439.	Hall/VdC Norms: Female#0456	setIQ 
QQQ10440.	Hall/VdC Norms: Female#0457	setOG 
QQQ10441.	Hall/VdC Norms: Female#0458	setIF 
QQQ10442.	Hall/VdC Norms: Female#0459	setIQ 
QQQ10443.	Hall/VdC Norms: Female#0460	setIU 
QQQ10444.	Hall/VdC Norms: Female#0461	setAQ 
QQQ10445.	Hall/VdC Norms: Female#0462	setIF 
QQQ10446.	Hall/VdC Norms: Female#0463	setOF 
QQQ10447.	Hall/VdC Norms: Female#0464	setOF setOU 
QQQ10448.	Hall/VdC Norms: Female#0465	setOU setIU 
QQQ10449.	Hall/VdC Norms: Female#0466	setOQ 
QQQ10450.	Hall/VdC Norms: Female#0467	setIQ 
QQQ10451.	Hall/VdC Norms: Female#0468	setOQ 
QQQ10452.	Hall/VdC Norms: Female#0469	setIQ setOF 
QQQ10453.	Hall/VdC Norms: Female#0470	setOQ 
QQQ10454.	Hall/VdC Norms: Female#0471	setID setOU 
QQQ10455.	Hall/VdC Norms: Female#0472	setOQ 
QQQ10456.	Hall/VdC Norms: Female#0473	setIF setOF 
QQQ10457.	Hall/VdC Norms: Female#0474	setAF 
QQQ10458.	Hall/VdC Norms: Female#0475	setIF setOF 
QQQ10459.	Hall/VdC Norms: Female#0476	setIU 
QQQ10460.	Hall/VdC Norms: Female#0477	setOU 
QQQ10461.	Hall/VdC Norms: Female#0478	setIF 
QQQ10462.	Hall/VdC Norms: Female#0479	setOQ 
QQQ10463.	Hall/VdC Norms: Female#0480	setOQ 
QQQ10464.	Hall/VdC Norms: Female#0481	setIQ 
QQQ10465.	Hall/VdC Norms: Female#0482	setIQ 
QQQ10466.	Hall/VdC Norms: Female#0483	setIQ setIQ 
QQQ10467.	Hall/VdC Norms: Female#0484	setOQ setIQ 
QQQ10468.	Hall/VdC Norms: Female#0485	setIQ setOQ setIQ 
QQQ10469.	Hall/VdC Norms: Female#0486	setIF setIF 
QQQ10470.	Hall/VdC Norms: Female#0487	setIF 
QQQ10471.	Hall/VdC Norms: Female#0488	setIF setOF 
QQQ10472.	Hall/VdC Norms: Female#0489	setIF 
QQQ10473.	Hall/VdC Norms: Female#0490	setIF 
QQQ10474.	Hall/VdC Norms: Female#0491	setIQ 
QQQ10475.	Hall/VdC Norms: Female#0492	setOF setIF 
QQQ10476.	Hall/VdC Norms: Female#0493	setIF 
QQQ10477.	Hall/VdC Norms: Female#0494	setIF 
QQQ10478.	Hall/VdC Norms: Female#0495	setIF 
QQQ10479.	Hall/VdC Norms: Female#0496	setAF setIQ 
QQQ10480.	Hall/VdC Norms: Female#0497	setOU 
QQQ10481.	Hall/VdC Norms: Female#0498	setOQ 
QQQ10482.	Hall/VdC Norms: Female#0499	setIF 
QQQ10483.	Hall/VdC Norms: Female#0500	setIQ setOQ 
