
QQQ9994.	Hall/VdC Norms: Female#0001	1MKA 1FMA 1IUA 1MKA 
QQQ10693.	Hall/VdC Norms: Male#0214	1MKA 2ANI 
QQQ10694.	Hall/VdC Norms: Male#0215	1MKA 1MOA 
QQQ10695.	Hall/VdC Norms: Male#0216	2JUT 
QQQ10696.	Hall/VdC Norms: Male#0217	1MKA 1ISA 7ANI 8ANI 
QQQ10697.	Hall/VdC Norms: Male#0218	1MKA 1ISA 2JSA 2ISA 
QQQ10698.	Hall/VdC Norms: Male#0219	2JXA 1MFA 2ANI 1ANI 
QQQ10699.	Hall/VdC Norms: Male#0220	1ANI 1ANI 
QQQ10700.	Hall/VdC Norms: Male#0221	1MKA 7MUA 8MUA 
QQQ10701.	Hall/VdC Norms: Male#0222	1MKA 1MOA 1MUA 1MKA 
QQQ10702.	Hall/VdC Norms: Male#0223	2JUA 1IUA 
QQQ10703.	Hall/VdC Norms: Male#0224	1FUA 1FKA 1FMA 
QQQ10704.	Hall/VdC Norms: Male#0225	2JOA 1IOA 1MKA 1FKA 
QQQ10705.	Hall/VdC Norms: Male#0226	1MOA 1MOA 2MKA 1MPA 1MOA 1MOA 
QQQ10706.	Hall/VdC Norms: Male#0227	2MOA 1MOA 
QQQ10707.	Hall/VdC Norms: Male#0228	1MKA 2IKA 
QQQ10708.	Hall/VdC Norms: Male#0229	2JEA 1MEA 2JXA 
QQQ10709.	Hall/VdC Norms: Male#0230	2JOA 1MKA 2MPA 1MOA 
QQQ10710.	Hall/VdC Norms: Male#0231	1MKA 2MOA 
QQQ10711.	Hall/VdC Norms: Male#0232	1MKA 1FMA 
QQQ10712.	Hall/VdC Norms: Male#0233	2ANI 1MSA 
QQQ10713.	Hall/VdC Norms: Male#0234	1ISA 
QQQ10714.	Hall/VdC Norms: Male#0235	2JOA 1MKA 1MUA 
QQQ10715.	Hall/VdC Norms: Male#0236	1FSA 2JUA 
QQQ10716.	Hall/VdC Norms: Male#0237	1MSA 
QQQ10717.	Hall/VdC Norms: Male#0238	1MKA 
QQQ10718.	Hall/VdC Norms: Male#0239	1MOA 1MOA 1ISA 2JUA 
QQQ10719.	Hall/VdC Norms: Male#0240	1MUA 1FKA 
QQQ10720.	Hall/VdC Norms: Male#0241	2MKA 
QQQ10721.	Hall/VdC Norms: Male#0242	1MUA 1FUA 2MSC 
QQQ10722.	Hall/VdC Norms: Male#0243	2JUA 2JEA 1ANI 1IUA 
QQQ10723.	Hall/VdC Norms: Male#0244	2ANI 1MKA 2ANI 
QQQ10724.	Hall/VdC Norms: Male#0245	1MSA 1MFA 
QQQ10725.	Hall/VdC Norms: Male#0246	
QQQ10726.	Hall/VdC Norms: Male#0247	1IKA 2FKA 
QQQ10727.	Hall/VdC Norms: Male#0248	1FKA 1FKA 1MUA 
QQQ10728.	Hall/VdC Norms: Male#0249	1MKA 1MKA 1MFA 1FKA 
QQQ10729.	Hall/VdC Norms: Male#0250	2MKA 2MUA 
QQQ10730.	Hall/VdC Norms: Male#0251	
QQQ10731.	Hall/VdC Norms: Male#0252	2MKA 1FKA 1ISA 1MKA 
QQQ10732.	Hall/VdC Norms: Male#0253	1MSA 1MSA 2JSA 2FKA 
QQQ10733.	Hall/VdC Norms: Male#0254	2JSA 2JRA 1MRA 2JSA 
QQQ10734.	Hall/VdC Norms: Male#0255	1FMA 1FKA 1IKB 
QQQ10735.	Hall/VdC Norms: Male#0256	1MKA 1ISA 
QQQ10736.	Hall/VdC Norms: Male#0257	1ANI 
QQQ10737.	Hall/VdC Norms: Male#0258	1MUA 2JXA 2IKA 2JUA 2FUA 1MFA 
QQQ10738.	Hall/VdC Norms: Male#0259	2JSA 
QQQ10739.	Hall/VdC Norms: Male#0260	1FOA 2IUA 
QQQ10740.	Hall/VdC Norms: Male#0261	2FSA 1FSA 1FSA 
QQQ10741.	Hall/VdC Norms: Male#0262	2IUC 2ANI 1ANI 2ANI 
QQQ10742.	Hall/VdC Norms: Male#0263	1FSA 1FSA 2JSA 
QQQ10743.	Hall/VdC Norms: Male#0264	1FSA 2JSA 
QQQ10744.	Hall/VdC Norms: Male#0265	2JSA 1FSA 
QQQ10745.	Hall/VdC Norms: Male#0266	1FRA 1MRA 
QQQ10746.	Hall/VdC Norms: Male#0267	1FKA 
QQQ10747.	Hall/VdC Norms: Male#0268	1MKA 
QQQ10748.	Hall/VdC Norms: Male#0269	1MOA 2ANI 
QQQ10749.	Hall/VdC Norms: Male#0270	1MKA 1ISA 
QQQ10750.	Hall/VdC Norms: Male#0271	1FTC 1MEA 1MUC 1MSC 2MOA 
QQQ10751.	Hall/VdC Norms: Male#0272	1FKA 1MUA 1MKA 2MOA 
QQQ10752.	Hall/VdC Norms: Male#0273	2JKA 1FKA 
QQQ10753.	Hall/VdC Norms: Male#0274	2MOA 1MKA 1MOA 
QQQ10754.	Hall/VdC Norms: Male#0275	2JXA 1FUA 2JUA 1MKA 1FKA 
QQQ10755.	Hall/VdC Norms: Male#0276	1FUA 2JUA 
QQQ10756.	Hall/VdC Norms: Male#0277	1MKA 1MUA 
QQQ10757.	Hall/VdC Norms: Male#0278	1FOA 
QQQ10758.	Hall/VdC Norms: Male#0279	1FMA 
QQQ10759.	Hall/VdC Norms: Male#0280	1ANI 
QQQ10760.	Hall/VdC Norms: Male#0281	2ANI 1MKA 1FKA 1ANI 2ANI 
QQQ10761.	Hall/VdC Norms: Male#0282	2MOA 1MOA 
QQQ10762.	Hall/VdC Norms: Male#0283	1FKA 1MKA 
QQQ10763.	Hall/VdC Norms: Male#0284	1FSA 
QQQ10764.	Hall/VdC Norms: Male#0285	1FSA 
QQQ10765.	Hall/VdC Norms: Male#0286	1FKA 1MKA 1FKA 
QQQ10766.	Hall/VdC Norms: Male#0287	1FSA 
QQQ10767.	Hall/VdC Norms: Male#0288	1FMA 1MOA 
QQQ10768.	Hall/VdC Norms: Male#0289	1MPA 1FKA 
QQQ10769.	Hall/VdC Norms: Male#0290	2JSA 1FKA 1ISA 1IUA 
QQQ10770.	Hall/VdC Norms: Male#0291	1FKA 
QQQ10771.	Hall/VdC Norms: Male#0292	1MKA 1MKT 1FKA 
QQQ10772.	Hall/VdC Norms: Male#0293	1MKA 2JKA 
QQQ10773.	Hall/VdC Norms: Male#0294	1IKA 1MPA 
QQQ10774.	Hall/VdC Norms: Male#0295	1FKA 1FKA 1MKA 
QQQ10775.	Hall/VdC Norms: Male#0296	1FWA 
QQQ10776.	Hall/VdC Norms: Male#0297	
QQQ10777.	Hall/VdC Norms: Male#0298	1ISA 
QQQ10778.	Hall/VdC Norms: Male#0299	
QQQ10779.	Hall/VdC Norms: Male#0300	1FWA 1FKA 
QQQ10780.	Hall/VdC Norms: Male#0301	1MKA 1MKA 1ANI 2MOA 2ANI 
QQQ10781.	Hall/VdC Norms: Male#0302	1MBA 
QQQ10782.	Hall/VdC Norms: Male#0303	1ISA 
QQQ10783.	Hall/VdC Norms: Male#0304	1MBC 1MBA 1ANI 
QQQ10784.	Hall/VdC Norms: Male#0305	1MFA 1FMA 2JKA 2JSA 2MOA 
QQQ10785.	Hall/VdC Norms: Male#0306	2MUA 1MEA 1MSA 1MSA 1MSA 
QQQ10786.	Hall/VdC Norms: Male#0307	2MKA 2MOA 
QQQ10787.	Hall/VdC Norms: Male#0308	1FKA 
QQQ10788.	Hall/VdC Norms: Male#0309	2MKA 1MKA 1MSA 
QQQ10789.	Hall/VdC Norms: Male#0310	1IUA 2JSA 
QQQ10790.	Hall/VdC Norms: Male#0311	2MKA 2MKA 1MKA 
QQQ10791.	Hall/VdC Norms: Male#0312	
QQQ10792.	Hall/VdC Norms: Male#0313	2JYA 1FSA 1MSA 
QQQ10793.	Hall/VdC Norms: Male#0314	
QQQ10794.	Hall/VdC Norms: Male#0315	2IKA 1MFA 1FKA 
QQQ10795.	Hall/VdC Norms: Male#0316	1MKA 1FKA 
QQQ10796.	Hall/VdC Norms: Male#0317	1MPA 2JSA 
QQQ10797.	Hall/VdC Norms: Male#0318	2MOA 
QQQ10798.	Hall/VdC Norms: Male#0319	1MFA 1FMA 
QQQ10799.	Hall/VdC Norms: Male#0320	1FSA 1MKA 2JSA 
QQQ10800.	Hall/VdC Norms: Male#0321	2MSA 2FSA 
QQQ10801.	Hall/VdC Norms: Male#0322	1MKA 
QQQ10802.	Hall/VdC Norms: Male#0323	1FWA 1FMA 1MBA 2IKA 
QQQ10803.	Hall/VdC Norms: Male#0324	1FWA 1MRA 
QQQ10804.	Hall/VdC Norms: Male#0325	
QQQ10805.	Hall/VdC Norms: Male#0326	1IOA 2IOA 
QQQ10806.	Hall/VdC Norms: Male#0327	1ISA 2ISA 1MSA 1MSA 
QQQ10807.	Hall/VdC Norms: Male#0328	2JOA 1IOA 
QQQ10808.	Hall/VdC Norms: Male#0329	1FSA 5MPA 2JSA 2FSA 
QQQ10809.	Hall/VdC Norms: Male#0330	1FKA 
QQQ10810.	Hall/VdC Norms: Male#0331	1MUA 
QQQ10811.	Hall/VdC Norms: Male#0332	1FOA 2JSA 
QQQ10812.	Hall/VdC Norms: Male#0333	1MOA 2JSA 1FOA 
QQQ10813.	Hall/VdC Norms: Male#0334	2JUA 1FKA 1MKA 
QQQ10814.	Hall/VdC Norms: Male#0335	1MKA 7MOA 8FOA 
QQQ10815.	Hall/VdC Norms: Male#0336	1MKA 
QQQ10816.	Hall/VdC Norms: Male#0337	1MSA 
QQQ10817.	Hall/VdC Norms: Male#0338	
QQQ10818.	Hall/VdC Norms: Male#0339	1ISA 
QQQ10819.	Hall/VdC Norms: Male#0340	1MPA 
QQQ10820.	Hall/VdC Norms: Male#0341	1FKA 1MKA 1MFA 
QQQ10821.	Hall/VdC Norms: Male#0342	1FPA 
QQQ10822.	Hall/VdC Norms: Male#0343	2MKA 1MKA 2JSA 1MKA 1FKA 
QQQ10823.	Hall/VdC Norms: Male#0344	1MOA 2MUA 
QQQ10824.	Hall/VdC Norms: Male#0345	1MRA 1ISA 
QQQ10825.	Hall/VdC Norms: Male#0346	1MSA 
QQQ10826.	Hall/VdC Norms: Male#0347	2JSA 1MPA 
QQQ10827.	Hall/VdC Norms: Male#0348	1MSA 
QQQ10828.	Hall/VdC Norms: Male#0350	2IUA 1ANI 
QQQ10829.	Hall/VdC Norms: Male#0352	1ANI 
QQQ10830.	Hall/VdC Norms: Male#0353	2JXA 2MOA 1MOA 1MOA 1MOA 2JYA 
QQQ10831.	Hall/VdC Norms: Male#0354	1FSA 
QQQ10832.	Hall/VdC Norms: Male#0355	2MOA 1MOA 
QQQ10833.	Hall/VdC Norms: Male#0356	1FKA 2IOA 1IOA 
QQQ10834.	Hall/VdC Norms: Male#0357	1ANI 
QQQ10835.	Hall/VdC Norms: Male#0358	1MKA 1MSA 
QQQ10836.	Hall/VdC Norms: Male#0359	1MSA 
QQQ10837.	Hall/VdC Norms: Male#0360	1MOA 2IUA 
QQQ10838.	Hall/VdC Norms: Male#0361	1MOA 1MSA 
QQQ10839.	Hall/VdC Norms: Male#0362	1MKA 1FKA 
QQQ10840.	Hall/VdC Norms: Male#0363	1MKA 1FSA 1FSA 
QQQ10841.	Hall/VdC Norms: Male#0364	1MBA 1MFA 
QQQ10842.	Hall/VdC Norms: Male#0365	1FKA 1MKA 2IKA 
QQQ10843.	Hall/VdC Norms: Male#0366	2JKA 1MKA 1FKA 1FRA 
QQQ10844.	Hall/VdC Norms: Male#0367	1MKA 2MOA 1MOA 2JSA 2JSA 2MST 1MST 
QQQ10845.	Hall/VdC Norms: Male#0368	1MKA 1FKA 1FKA 
QQQ10846.	Hall/VdC Norms: Male#0369	1MOA 1MSA 2JSA 1MSA 
QQQ10847.	Hall/VdC Norms: Male#0370	2MEA 1MOA 2MEA 2IOA 1FSA 1FUA 
QQQ10848.	Hall/VdC Norms: Male#0371	1FSA 2ANI 
QQQ10849.	Hall/VdC Norms: Male#0372	1MKA 2JSA 
QQQ10850.	Hall/VdC Norms: Male#0373	1MOA 
QQQ10851.	Hall/VdC Norms: Male#0374	2MSA 
QQQ10852.	Hall/VdC Norms: Male#0375	1FSA 
QQQ10853.	Hall/VdC Norms: Male#0376	1MKA 1MKA 1MKA 
QQQ10854.	Hall/VdC Norms: Male#0377	1MKA 1FMA 2IOA 
QQQ10855.	Hall/VdC Norms: Male#0378	2JSA 
QQQ10856.	Hall/VdC Norms: Male#0379	1FKA 
QQQ10857.	Hall/VdC Norms: Male#0380	1FKA 
QQQ10858.	Hall/VdC Norms: Male#0381	2MKA 1FMA 1ISA 1FSA 
QQQ10859.	Hall/VdC Norms: Male#0382	2MKA 
QQQ10860.	Hall/VdC Norms: Male#0383	2MKA 1MKA 
QQQ10861.	Hall/VdC Norms: Male#0384	1MOA 2MKA 
QQQ10862.	Hall/VdC Norms: Male#0385	1FRC 1MKA 1MKA 2IOA 
QQQ10863.	Hall/VdC Norms: Male#0386	1MOA 
QQQ10864.	Hall/VdC Norms: Male#0387	1FSA 2MSA 
QQQ10865.	Hall/VdC Norms: Male#0388	2JSA 
QQQ10866.	Hall/VdC Norms: Male#0389	1MKA 2MOA 1MOA 
QQQ10867.	Hall/VdC Norms: Male#0390	1FOA 1ANI 1MUA 
QQQ10868.	Hall/VdC Norms: Male#0391	1FKA 2JSA 2MSA 
QQQ10869.	Hall/VdC Norms: Male#0395	1ISA 2JSA 
QQQ10870.	Hall/VdC Norms: Male#0396	1FTA 2JUA 
QQQ10871.	Hall/VdC Norms: Male#0397	1FKA 1FKA 1MUA 1FMA 
QQQ10872.	Hall/VdC Norms: Male#0398	2JUA 1FMA 1MRA 1FTA 
QQQ10873.	Hall/VdC Norms: Male#0399	1FKA 
QQQ10874.	Hall/VdC Norms: Male#0400	
QQQ10875.	Hall/VdC Norms: Male#0401	2JSA 
QQQ10876.	Hall/VdC Norms: Male#0402	1FUA 
QQQ10877.	Hall/VdC Norms: Male#0403	2MKA 1MOA 2MOA 2MSA 
QQQ10878.	Hall/VdC Norms: Male#0404	
QQQ10879.	Hall/VdC Norms: Male#0405	1MSC 
QQQ10880.	Hall/VdC Norms: Male#0406	1MOA 
QQQ10881.	Hall/VdC Norms: Male#0407	2MSA 2MOA 2MOA 1MSA 1MKA 1FMA 
QQQ10882.	Hall/VdC Norms: Male#0408	1MRA 1MKA 
QQQ10883.	Hall/VdC Norms: Male#0409	1FSA 2IUA 
QQQ10884.	Hall/VdC Norms: Male#0410	1FUA 
QQQ10885.	Hall/VdC Norms: Male#0411	1FSA 1MOA 1MOA 
QQQ10886.	Hall/VdC Norms: Male#0412	1FSA 
QQQ10887.	Hall/VdC Norms: Male#0413	2MSA 1MSA 2ANI 1ANI 
QQQ10888.	Hall/VdC Norms: Male#0414	1FKA 1MUA 1MUA 2JSA 
QQQ10889.	Hall/VdC Norms: Male#0415	1FKA 
QQQ10890.	Hall/VdC Norms: Male#0416	2MOA 1MRA 
QQQ10891.	Hall/VdC Norms: Male#0417	1MSA 2JSA 
QQQ10892.	Hall/VdC Norms: Male#0418	2JUA 1FUA 1MUA 
QQQ10893.	Hall/VdC Norms: Male#0419	
QQQ10894.	Hall/VdC Norms: Male#0420	2MOA 
QQQ10895.	Hall/VdC Norms: Male#0421	1FSA 1MKC 1MBA 
QQQ10896.	Hall/VdC Norms: Male#0422	1MOA 1MKA 
QQQ10897.	Hall/VdC Norms: Male#0423	1MKA 2FSA 1MOA 
QQQ10898.	Hall/VdC Norms: Male#0424	1MFA 1MOA 2JSA 1MBA 1FSA 
QQQ10899.	Hall/VdC Norms: Male#0425	2JSA 1MBC 
QQQ10900.	Hall/VdC Norms: Male#0426	2JSA 
QQQ10901.	Hall/VdC Norms: Male#0427	1FOA 1FKA 
QQQ10902.	Hall/VdC Norms: Male#0428	2FUA 1IOA 
QQQ10903.	Hall/VdC Norms: Male#0429	
QQQ10904.	Hall/VdC Norms: Male#0430	2JUA 
QQQ10905.	Hall/VdC Norms: Male#0431	
QQQ10906.	Hall/VdC Norms: Male#0432	1FWA 
QQQ10907.	Hall/VdC Norms: Male#0433	2MSA 2MSA 1MSA 
QQQ10908.	Hall/VdC Norms: Male#0434	1FWA 
QQQ10909.	Hall/VdC Norms: Male#0435	2JSA 1FWA 
QQQ10910.	Hall/VdC Norms: Male#0436	1FOA 
QQQ10911.	Hall/VdC Norms: Male#0437	2MUA 1ANI 
QQQ10912.	Hall/VdC Norms: Male#0438	
QQQ10913.	Hall/VdC Norms: Male#0439	1MOA 
QQQ10914.	Hall/VdC Norms: Male#0440	1MOA 
QQQ10915.	Hall/VdC Norms: Male#0441	
QQQ10916.	Hall/VdC Norms: Male#0442	1FKA 1FOA 1FOA 
QQQ10917.	Hall/VdC Norms: Male#0443	2MSA 1MSA 
QQQ10918.	Hall/VdC Norms: Male#0444	1MKA 2MEA 2JSA 1ANI 
QQQ10919.	Hall/VdC Norms: Male#0445	2JSA 2JSA 
QQQ10920.	Hall/VdC Norms: Male#0446	1FKA 1MUA 
QQQ10921.	Hall/VdC Norms: Male#0447	1FSA 
QQQ10922.	Hall/VdC Norms: Male#0448	2JSA 2MOA 1MOA 
QQQ10923.	Hall/VdC Norms: Male#0449	1MOA 2IUA 2MOA 
QQQ10924.	Hall/VdC Norms: Male#0450	1MKA 1FKA 
QQQ10925.	Hall/VdC Norms: Male#0451	2IOA 1FKA 2IOA 
QQQ10926.	Hall/VdC Norms: Male#0452	1MFA 1FTA 1FKA 1MKA 
QQQ10927.	Hall/VdC Norms: Male#0453	1MKA 2MUA 1MFA 
QQQ10928.	Hall/VdC Norms: Male#0454	1MSA 2MSA 1ANI 1MKA 1MSA 1ISA 
QQQ10929.	Hall/VdC Norms: Male#0455	2MUA 2ISA 2ANI 2ANI 
QQQ10930.	Hall/VdC Norms: Male#0456	1MKA 2ISA 
QQQ10931.	Hall/VdC Norms: Male#0457	1MKA 1IKA 
QQQ10932.	Hall/VdC Norms: Male#0458	
QQQ10933.	Hall/VdC Norms: Male#0459	1ANI 2ANI 
QQQ10934.	Hall/VdC Norms: Male#0460	2JOA 1MSA 
QQQ10935.	Hall/VdC Norms: Male#0461	1MKA 1MSA 2MSA 
QQQ10936.	Hall/VdC Norms: Male#0462	2MSA 1MSA 
QQQ10937.	Hall/VdC Norms: Male#0463	1FSC 1FSA 1FSA 2ISA 
QQQ10938.	Hall/VdC Norms: Male#0464	2JOA 1MKA 2JOA 
QQQ10939.	Hall/VdC Norms: Male#0465	1FSA 
QQQ10940.	Hall/VdC Norms: Male#0466	1IOA 
QQQ10941.	Hall/VdC Norms: Male#0467	1FKA 1FKA 1MOA 
QQQ10942.	Hall/VdC Norms: Male#0468	2MOA 2MSA 1MSA 1ISA 1MSA 2JSA 
QQQ10943.	Hall/VdC Norms: Male#0469	2JOA 2MKA 1MOA 2MOA 1MOA 1MOA 2MOA 
QQQ10944.	Hall/VdC Norms: Male#0470	2MOA 
QQQ10945.	Hall/VdC Norms: Male#0471	1MBA 2MOA 1MOA 1MKA 
QQQ10946.	Hall/VdC Norms: Male#0472	1MBA 1MKA 1FKA 1FKA 1FKA 1MFA 1FMA 
QQQ10947.	Hall/VdC Norms: Male#0473	1MKA 1MOA 
QQQ10948.	Hall/VdC Norms: Male#0474	1MKA 
QQQ10949.	Hall/VdC Norms: Male#0475	2JXA 
QQQ10950.	Hall/VdC Norms: Male#0476	1FKA 1MOA 
QQQ10951.	Hall/VdC Norms: Male#0477	2MUA 
QQQ10952.	Hall/VdC Norms: Male#0478	1MSA 1ANI 
QQQ10953.	Hall/VdC Norms: Male#0479	2MKA 1MSA 
QQQ10954.	Hall/VdC Norms: Male#0480	1ISA 1MOA 1MOA 
QQQ10955.	Hall/VdC Norms: Male#0481	1FRA 
QQQ10956.	Hall/VdC Norms: Male#0482	2MOA 
QQQ10957.	Hall/VdC Norms: Male#0483	1MKA 1MKA 
QQQ10958.	Hall/VdC Norms: Male#0484	
QQQ10959.	Hall/VdC Norms: Male#0485	2ISA 1MSA 1FSA 2ISA 
QQQ10960.	Hall/VdC Norms: Male#0486	1FMA 1MFA 
QQQ10961.	Hall/VdC Norms: Male#0487	1FKA 
QQQ10962.	Hall/VdC Norms: Male#0488	1FKA 2JEA 
QQQ10963.	Hall/VdC Norms: Male#0489	1FKA 1MKA 
QQQ10964.	Hall/VdC Norms: Male#0490	1MFA 1FMA 
QQQ10965.	Hall/VdC Norms: Male#0491	1FKA 1MKA 
QQQ10966.	Hall/VdC Norms: Male#0492	2JKA 1FKA 1MFA 
QQQ10967.	Hall/VdC Norms: Male#0493	1FSA 2JSA 
QQQ10968.	Hall/VdC Norms: Male#0494	1MKA 1MOA 2JSA 
QQQ10969.	Hall/VdC Norms: Male#0495	1FKA 
QQQ10970.	Hall/VdC Norms: Male#0496	1FKA 
QQQ10971.	Hall/VdC Norms: Male#0497	1FSA 
QQQ10972.	Hall/VdC Norms: Male#0498	2FSA 1FSA 
QQQ10973.	Hall/VdC Norms: Male#0499	1FSA 1FKA 
QQQ10974.	Hall/VdC Norms: Male#0500	1MKA 
